row,col,value
0,50,-2.837705e+03
0,1,-2.757797e+03
0,0,5.595502e+03
1,51,-2.832309e+03
1,2,-2.753007e+03
1,0,-2.757797e+03
1,1,8.343113e+03
2,52,-2.823407e+03
2,3,-2.745912e+03
2,1,-2.753007e+03
2,2,8.322326e+03
3,53,-2.811133e+03
3,4,-2.736621e+03
3,2,-2.745912e+03
3,3,8.293666e+03
4,54,-2.795674e+03
4,5,-2.725274e+03
4,3,-2.736621e+03
4,4,8.257568e+03
5,55,-2.777263e+03
5,6,-2.712042e+03
5,4,-2.725274e+03
5,5,8.214579e+03
6,56,-2.756181e+03
6,7,-2.697128e+03
6,5,-2.712042e+03
6,6,8.165352e+03
7,57,-2.732746e+03
7,8,-2.680757e+03
7,6,-2.697128e+03
7,7,8.110631e+03
8,58,-2.707314e+03
8,9,-2.663176e+03
8,7,-2.680757e+03
8,8,8.051247e+03
9,59,-2.680271e+03
9,10,-2.644653e+03
9,8,-2.663176e+03
9,9,7.988100e+03
10,60,-2.652026e+03
10,11,-2.625468e+03
10,9,-2.644653e+03
10,10,7.922147e+03
11,61,-2.623007e+03
11,12,-2.605912e+03
11,10,-2.625468e+03
11,11,7.854387e+03
12,62,-2.593655e+03
12,13,-2.586282e+03
12,11,-2.605912e+03
12,12,7.785849e+03
13,63,-2.564414e+03
13,14,-2.566875e+03
13,12,-2.586282e+03
13,13,7.717571e+03
14,64,-2.535728e+03
14,15,-2.547985e+03
14,13,-2.566875e+03
14,14,7.650588e+03
15,65,-2.508031e+03
15,16,-2.529899e+03
15,14,-2.547985e+03
15,15,7.585915e+03
16,66,-2.481743e+03
16,17,-2.512891e+03
16,15,-2.529899e+03
16,16,7.524533e+03
17,67,-2.457264e+03
17,18,-2.497218e+03
17,16,-2.512891e+03
17,17,7.467372e+03
18,68,-2.434963e+03
18,19,-2.483118e+03
18,17,-2.497218e+03
18,18,7.415299e+03
19,69,-2.415179e+03
19,20,-2.470806e+03
19,18,-2.483118e+03
19,19,7.369104e+03
20,70,-2.398212e+03
20,21,-2.460467e+03
20,19,-2.470806e+03
20,20,7.329485e+03
21,71,-2.384319e+03
21,22,-2.452258e+03
21,20,-2.460467e+03
21,21,7.297045e+03
