row,col,value
0,0,1.000115e+00
1,1,1.000231e+00
2,2,1.000346e+00
3,3,1.000461e+00
4,4,1.000577e+00
5,5,1.000692e+00
6,6,1.000807e+00
7,7,1.000923e+00
8,8,1.001038e+00
9,9,1.001153e+00
10,10,1.001269e+00
11,11,1.001384e+00
12,12,1.001499e+00
13,13,1.001615e+00
14,14,1.001730e+00
15,15,1.001845e+00
16,16,1.001961e+00
17,17,1.002076e+00
18,18,1.002191e+00
19,19,1.002307e+00
20,20,1.002422e+00
21,21,1.002537e+00
22,22,1.002653e+00
23,23,1.002768e+00
24,24,1.002884e+00
25,25,1.002999e+00
26,26,1.003114e+00
27,27,1.003230e+00
28,28,1.003345e+00
29,29,1.003460e+00
30,30,1.003576e+00
31,31,1.003691e+00
32,32,1.003806e+00
33,33,1.003922e+00
34,34,1.004037e+00
35,35,1.004152e+00
36,36,1.004268e+00
37,37,1.004383e+00
38,38,1.004498e+00
39,39,1.004614e+00
40,40,1.004729e+00
41,41,1.004844e+00
42,42,1.004960e+00
43,43,1.005075e+00
44,44,1.005190e+00
45,45,1.005306e+00
46,46,1.005421e+00
47,47,1.005536e+00
48,48,1.005652e+00
49,49,1.005767e+00
50,50,1.000231e+00
51,51,1.000461e+00
52,52,1.000692e+00
53,53,1.000923e+00
54,54,1.001153e+00
55,55,1.001384e+00
56,56,1.001615e+00
57,57,1.001845e+00
58,58,1.002076e+00
59,59,1.002307e+00
60,60,1.002537e+00
61,61,1.002768e+00
62,62,1.002999e+00
63,63,1.003230e+00
64,64,1.003460e+00
65,65,1.003691e+00
66,66,1.003922e+00
67,67,1.004152e+00
68,68,1.004383e+00
69,69,1.004614e+00
70,70,1.004844e+00
71,71,1.005075e+00
72,72,1.005306e+00
73,73,1.005536e+00
74,74,1.005767e+00
75,75,1.005998e+00
76,76,1.006228e+00
77,77,1.006459e+00
78,78,1.006690e+00
79,79,1.006920e+00
80,80,1.007151e+00
81,81,1.007382e+00
82,82,1.007612e+00
83,83,1.007843e+00
84,84,1.008074e+00
85,85,1.008304e+00
86,86,1.008535e+00
87,87,1.008766e+00
88,88,1.008997e+00
89,89,1.009227e+00
90,90,1.009458e+00
91,91,1.009689e+00
92,92,1.009919e+00
93,93,1.010150e+00
94,94,1.010381e+00
95,95,1.010611e+00
96,96,1.010842e+00
97,97,1.011073e+00
98,98,1.011303e+00
99,99,1.011534e+00
100,100,1.000346e+00
101,101,1.000692e+00
102,102,1.001038e+00
103,103,1.001384e+00
104,104,1.001730e+00
105,105,1.002076e+00
106,106,1.002422e+00
107,107,1.002768e+00
108,108,1.003114e+00
109,109,1.003460e+00
110,110,1.003806e+00
111,111,1.004152e+00
112,112,1.004498e+00
113,113,1.004844e+00
114,114,1.005190e+00
115,115,1.005536e+00
116,116,1.005882e+00
117,117,1.006228e+00
118,118,1.006574e+00
119,119,1.006920e+00
120,120,1.007266e+00
121,121,1.007612e+00
122,122,1.007958e+00
123,123,1.008304e+00
124,124,1.008651e+00
125,125,1.008997e+00
126,126,1.009343e+00
127,127,1.009689e+00
128,128,1.010035e+00
129,129,1.010381e+00
130,130,1.010727e+00
131,131,1.011073e+00
132,132,1.011419e+00
133,133,1.011765e+00
134,134,1.012111e+00
135,135,1.012457e+00
136,136,1.012803e+00
137,137,1.013149e+00
138,138,1.013495e+00
139,139,1.013841e+00
140,140,1.014187e+00
141,141,1.014533e+00
142,142,1.014879e+00
143,143,1.015225e+00
144,144,1.015571e+00
145,145,1.015917e+00
146,146,1.016263e+00
147,147,1.016609e+00
148,148,1.016955e+00
149,149,1.017301e+00
150,150,1.000461e+00
151,151,1.000923e+00
