i,j,x,y,p,w,q
0,0,0.019608,0.019608,1.060978,1.000115,0.000000
0,1,0.019608,0.039216,1.059588,1.000231,0.000000
0,2,0.019608,0.058824,1.057295,1.000346,0.000000
0,3,0.019608,0.078431,1.054133,1.000461,0.000000
0,4,0.019608,0.098039,1.050151,1.000577,0.000000
0,5,0.019608,0.117647,1.045408,1.000692,0.000000
0,6,0.019608,0.137255,1.039977,1.000807,0.000001
0,7,0.019608,0.156863,1.033940,1.000923,0.000001
0,8,0.019608,0.176471,1.027388,1.001038,0.000003
0,9,0.019608,0.196078,1.020421,1.001153,0.000005
0,10,0.019608,0.215686,1.013145,1.001269,0.000009
0,11,0.019608,0.235294,1.005669,1.001384,0.000015
0,12,0.019608,0.254902,0.998108,1.001499,0.000024
0,13,0.019608,0.274510,0.990575,1.001615,0.000038
0,14,0.019608,0.294118,0.983185,1.001730,0.000059
0,15,0.019608,0.313725,0.976050,1.001845,0.000086
0,16,0.019608,0.333333,0.969278,1.001961,0.000121
0,17,0.019608,0.352941,0.962972,1.002076,0.000165
0,18,0.019608,0.372549,0.957227,1.002191,0.000216
0,19,0.019608,0.392157,0.952130,1.002307,0.000272
0,20,0.019608,0.411765,0.947759,1.002422,0.000330
0,21,0.019608,0.431373,0.944180,1.002537,0.000385
0,22,0.019608,0.450980,0.941447,1.002653,0.000432
0,23,0.019608,0.470588,0.939602,1.002768,0.000467
0,24,0.019608,0.490196,0.938672,1.002884,0.000485
0,25,0.019608,0.509804,0.938672,1.002999,0.000485
0,26,0.019608,0.529412,0.939602,1.003114,0.000467
0,27,0.019608,0.549020,0.941447,1.003230,0.000432
0,28,0.019608,0.568627,0.944180,1.003345,0.000385
0,29,0.019608,0.588235,0.947759,1.003460,0.000330
0,30,0.019608,0.607843,0.952130,1.003576,0.000272
0,31,0.019608,0.627451,0.957227,1.003691,0.000216
0,32,0.019608,0.647059,0.962972,1.003806,0.000165
0,33,0.019608,0.666667,0.969278,1.003922,0.000121
0,34,0.019608,0.686275,0.976050,1.004037,0.000086
0,35,0.019608,0.705882,0.983185,1.004152,0.000059
0,36,0.019608,0.725490,0.990575,1.004268,0.000038
0,37,0.019608,0.745098,0.998108,1.004383,0.000024
0,38,0.019608,0.764706,1.005669,1.004498,0.000015
